15,17,19,22,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
15,17,19,22,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
9,22,18,15,17,7,10,11,6,27,5,20,1,19,12,25,21,0,4,23,24,14,8,3,2,26
11,22,15,18,19,7,10,17,21,27,5,20,1,6,12,25,9,0,4,23,24,14,8,3,2,26
27,22,18,15,17,7,10,11,4,6,5,20,1,21,12,25,0,9,19,23,24,14,8,3,2,26
4,22,18,15,17,7,10,12,27,6,25,5,1,21,2,8,0,9,19,23,24,14,20,3,11,26
22,17,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
18,22,19,15,17,7,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
19,22,18,15,17,7,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
0,17,19,22,7,18,12,15,25,27,10,21,6,2,8,1,9,5,4,23,24,14,20,3,11,26
20,22,15,18,27,7,10,12,4,6,14,5,1,21,2,25,0,9,19,23,24,3,8,17,11,26
11,22,15,18,19,7,10,17,21,27,5,20,1,6,12,25,9,0,4,23,24,14,8,3,2,26
18,22,19,15,17,7,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
23,22,15,18,7,27,10,4,6,5,14,12,1,21,2,0,8,9,19,25,24,3,20,17,11,26
5,17,19,22,7,18,12,15,25,27,10,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
10,17,19,22,7,18,12,15,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
14,22,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,3,20,17,11,26
8,22,15,18,27,7,10,12,4,6,5,14,1,21,2,25,0,9,19,23,24,3,20,17,11,26
14,22,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,3,20,17,11,26
11,22,15,18,19,7,10,17,21,27,5,20,1,6,12,25,9,0,4,23,24,14,8,3,2,26
24,22,15,18,7,27,10,4,12,6,5,1,14,21,2,0,9,19,20,25,23,3,8,17,11,26
22,17,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
22,17,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
4,22,18,15,17,7,10,12,27,6,25,5,1,21,2,8,0,9,19,23,24,14,20,3,11,26
21,22,18,15,17,7,10,2,6,27,5,20,1,19,12,25,9,0,4,23,24,14,8,3,11,26
22,17,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
4,22,18,15,17,7,10,12,27,6,25,5,1,21,2,8,0,9,19,23,24,14,20,3,11,26
7,22,19,15,17,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
17,22,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
12,22,15,18,17,7,19,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
5,17,19,22,7,18,12,15,25,27,10,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
26,22,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,3,20,17,11,14
26,22,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,3,20,17,11,14
6,22,18,15,17,7,10,11,9,27,5,20,1,19,12,25,21,0,4,23,24,14,8,3,2,26
25,22,15,18,7,27,10,3,4,6,12,5,1,21,2,8,0,9,19,23,24,14,20,17,11,26
1,17,19,7,22,18,12,15,25,27,5,10,21,6,2,8,9,0,4,23,24,14,20,3,11,26
12,22,15,18,17,7,19,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
27,22,18,15,17,7,10,11,4,6,5,20,1,21,12,25,0,9,19,23,24,14,8,3,2,26
4,22,18,15,17,7,10,12,27,6,25,5,1,21,2,8,0,9,19,23,24,14,20,3,11,26
25,22,15,18,7,27,10,3,4,6,12,5,1,21,2,8,0,9,19,23,24,14,20,17,11,26
0,17,19,22,7,18,12,15,25,27,10,21,6,2,8,1,9,5,4,23,24,14,20,3,11,26
14,22,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,3,20,17,11,26
4,22,18,15,17,7,10,12,27,6,25,5,1,21,2,8,0,9,19,23,24,14,20,3,11,26
19,22,18,15,17,7,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
17,22,19,15,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
10,17,19,22,7,18,12,15,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
15,17,19,22,7,18,12,10,25,27,5,1,21,6,2,8,9,0,4,23,24,14,20,3,11,26
25,22,15,18,7,27,10,3,4,6,12,5,1,21,2,8,0,9,19,23,24,14,20,17,11,26
11,22,15,18,19,7,10,17,21,27,5,20,1,6,12,25,9,0,4,23,24,14,8,3,2,26
21,22,18,15,17,7,10,2,6,27,5,20,1,19,12,25,9,0,4,23,24,14,8,3,11,26
