27,95,92,60,81,67,80,98,29,35,59,125,63,20,94,65,99,10,103,66,75,57,83,44,25,69,85,104,77,18,68,90,87,6,43,16,1,100,71,50,32,102,56,105,58,93,33,11,89,45,17,26,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
26,95,92,60,81,67,80,98,29,35,59,125,63,20,94,65,99,10,103,66,75,57,83,44,25,69,85,104,77,18,68,90,87,6,43,16,1,100,71,50,32,102,56,105,58,93,33,27,11,89,45,17,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
17,95,92,60,81,67,80,98,29,35,59,125,63,20,94,65,99,10,103,66,75,57,83,44,25,69,85,104,77,18,68,90,87,6,43,16,1,100,71,50,32,102,56,105,58,93,33,27,11,89,45,26,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
125,95,77,59,63,29,81,103,99,98,60,80,67,94,20,6,65,10,35,66,75,57,83,44,25,69,85,92,104,18,43,68,90,87,1,50,16,100,71,32,102,56,105,58,93,33,27,11,89,45,17,26,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
27,95,92,60,81,67,80,98,29,35,59,125,63,20,94,65,99,10,103,66,75,57,83,44,25,69,85,104,77,18,68,90,87,6,43,16,1,100,71,50,32,102,56,105,58,93,33,11,89,45,17,26,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
10,95,29,60,81,67,125,98,99,35,59,80,63,94,20,6,65,77,103,66,75,57,83,44,25,69,85,92,104,18,43,68,90,87,1,50,16,100,71,32,102,56,105,58,93,33,27,11,89,45,17,26,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
5,95,29,60,81,67,125,98,99,35,59,80,63,94,20,6,65,77,103,66,75,57,83,44,25,69,85,92,104,18,43,68,90,87,1,50,16,100,71,32,102,56,105,58,93,33,27,11,89,45,17,10,26,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,14,22
75,95,77,60,81,67,80,98,29,35,59,125,63,94,20,43,10,103,99,85,66,57,83,44,25,69,65,92,104,18,6,68,90,87,1,50,16,100,71,32,102,56,105,58,93,33,27,11,89,45,17,26,8,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
8,95,29,81,92,60,125,98,99,35,59,80,63,94,20,6,65,10,103,66,75,57,83,44,25,69,85,104,77,18,43,68,90,87,1,50,16,100,71,32,102,56,105,58,67,93,33,27,11,89,45,17,26,21,38,36,62,96,109,53,30,55,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
55,95,29,81,92,60,125,98,99,35,59,80,63,94,20,6,65,10,103,66,75,57,83,44,25,69,85,104,77,18,43,68,90,87,1,50,16,100,71,32,102,56,105,58,67,93,33,27,11,89,45,17,26,8,21,38,36,62,96,109,53,30,97,108,46,79,41,84,24,4,15,3,76,40,78,2,13,5,14,22
